,L2_strength,Train_Loss,Train_Reg_Loss,Test_Loss,Test_Accuracy,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,r0
51,0.0102,0.513636723,1.62067485,0.50557784,87.91,96.93877551,98.502202643,89.728682171,89.900990099,87.678207739,70.739910314,92.693110647,92.412451362,78.850102669,78.39444995,10.38061809539795
52,0.0104,0.517083656,1.629234687,0.497885624,88.89,97.346938776,96.299559471,82.073643411,84.158415842,91.344195519,85.650224215,91.440501044,87.256809339,85.112936345,87.413280476,10.393555641174316
53,0.0106,0.520892806,1.65747965,0.492082604,88.71,96.632653061,96.651982379,87.69379845,80.99009901,93.890020367,78.3632287,93.63256785,85.505836576,87.166324435,85.03468781,10.345353126525879
54,0.0108,0.527114324,1.67392029,0.501417467,88.46,96.224489796,97.268722467,84.011627907,86.138613861,89.918533605,70.852017937,91.33611691,89.007782101,86.344969199,90.782953419,10.273979187011719
55,0.011,0.532051223,1.68937699,0.534425328,88.16,94.591836735,94.889867841,82.364341085,89.00990099,85.947046843,83.632286996,88.622129436,86.770428016,87.577002053,87.115956392,10.203781127929688
56,0.0112,0.535008633,1.702964358,0.51317516,88.62,95.306122449,97.533039648,85.465116279,89.00990099,85.132382892,78.02690583,92.797494781,85.019455253,88.19301848,87.809712587,10.135605812072754
57,0.0114,0.54379443,1.730987466,0.538342209,86.76,95.612244898,98.854625551,87.984496124,89.900990099,85.845213849,66.591928251,93.423799582,92.80155642,75.564681725,77.205153617,10.148885726928711
58,0.0116,0.54655304,1.744583769,0.516640893,88.13,95.306122449,97.533039648,86.240310078,84.653465347,90.733197556,73.094170404,93.110647182,92.704280156,79.979466119,85.232903865,10.089183807373047
59,0.0118,0.550534629,1.736997207,0.53535211,87.56,95.408163265,97.621145374,84.496124031,85.148514851,94.297352342,72.869955157,94.989561587,84.727626459,88.295687885,75.718533201,9.984612464904785
60,0.012,0.557404661,1.751033507,0.54517761,87.74,96.428571429,96.387665198,87.112403101,75.544554455,88.085539715,74.887892377,94.050104384,86.86770428,87.577002053,88.503468781,9.885916709899902
61,0.0122,0.568212193,1.78014842,0.56875959,86.34,98.06122449,98.325991189,87.30620155,87.821782178,93.788187373,61.098654709,92.379958246,91.050583658,73.511293634,75.916749257,9.795195579528809
62,0.0124,0.579950987,1.76316237,0.554233354,87.11,94.387755102,98.502202643,81.782945736,86.831683168,87.780040733,74.887892377,92.901878914,91.634241245,76.899383984,82.854311199,9.750190734863281
63,0.0126,0.587084914,1.785172341,0.56908325,85.95,95.918367347,97.092511013,83.236434109,76.633663366,76.374745418,75.784753363,92.379958246,80.544747082,87.371663244,92.170465808,9.788348197937012
64,0.0128,0.590752274,1.799780399,0.581842672,86.26,98.367346939,97.356828194,87.30620155,87.425742574,80.549898167,63.452914798,89.770354906,93.190661479,73.716632444,87.21506442,9.696931838989258
65,0.013,0.594668022,1.815489242,0.605328005,84.74,95.510204082,98.237885463,88.565891473,87.623762376,80.448065173,64.686098655,90.605427975,92.023346304,63.039014374,82.160555005,9.635858535766602
66,0.0132,0.59877495,1.812866884,0.584478056,86.62,96.530612245,96.916299559,85.755813953,87.128712871,78.309572301,70.739910314,91.440501044,80.350194553,86.858316222,89.494549058,9.659220695495605
67,0.0134,0.600178284,1.832182188,0.61215818,84.88,96.93877551,98.325991189,74.709302326,75.445544554,86.252545825,81.838565022,89.352818372,87.548638132,66.940451745,89.593657086,9.612689971923828
68,0.0136,0.603944811,1.854783623,0.585693264,86.74,96.224489796,96.651982379,85.658914729,91.683168317,87.881873727,68.946188341,89.144050104,85.60311284,81.006160164,81.565906838,9.535116195678711
69,0.0138,0.610560028,1.874588417,0.593392725,85.2,95.816326531,96.916299559,83.527131783,80.0,95.621181263,71.412556054,90.605427975,82.879377432,81.211498973,71.754212091,9.563258171081543
70,0.014,0.613579502,1.889912372,0.587915819,86.54,96.734693878,97.797356828,88.565891473,76.831683168,88.187372709,67.488789238,93.841336117,82.392996109,84.291581109,86.32309217,9.415404319763184
